England and Wales,Religion,Sex,Age Code,Age,Ethnic group,Observation
England and Wales,Christian,Male,75,Aged 75 years,Other ethnic group,356
England and Wales,Christian,Male,76,Aged 76 years,Does not apply,0
England and Wales,Christian,Male,76,Aged 76 years,"Asian, Asian British or Asian Welsh",655
England and Wales,Christian,Male,76,Aged 76 years,"Black, Black British, Black Welsh, Caribbean or African",1327
England and Wales,Christian,Male,76,Aged 76 years,Mixed or Multiple ethnic groups,531
England and Wales,Christian,Male,76,Aged 76 years,White,159874
England and Wales,Christian,Male,76,Aged 76 years,Other ethnic group,353
England and Wales,Christian,Male,77,Aged 77 years,Does not apply,0
England and Wales,Christian,Male,77,Aged 77 years,"Asian, Asian British or Asian Welsh",553
England and Wales,Christian,Male,77,Aged 77 years,"Black, Black British, Black Welsh, Caribbean or African",1478
England and Wales,Christian,Male,77,Aged 77 years,Mixed or Multiple ethnic groups,448
England and Wales,Christian,Male,77,Aged 77 years,White,146052
England and Wales,Christian,Male,77,Aged 77 years,Other ethnic group,336
England and Wales,Christian,Male,78,Aged 78 years,Does not apply,0
England and Wales,Christian,Male,78,Aged 78 years,"Asian, Asian British or Asian Welsh",524
England and Wales,Christian,Male,78,Aged 78 years,"Black, Black British, Black Welsh, Caribbean or African",1670
England and Wales,Christian,Male,78,Aged 78 years,Mixed or Multiple ethnic groups,404
England and Wales,Christian,Male,78,Aged 78 years,White,134806
England and Wales,Christian,Male,78,Aged 78 years,Other ethnic group,254
England and Wales,Christian,Male,79,Aged 79 years,Does not apply,0
England and Wales,Christian,Male,79,Aged 79 years,"Asian, Asian British or Asian Welsh",479
England and Wales,Christian,Male,79,Aged 79 years,"Black, Black British, Black Welsh, Caribbean or African",1591
England and Wales,Christian,Male,79,Aged 79 years,Mixed or Multiple ethnic groups,392
England and Wales,Christian,Male,79,Aged 79 years,White,112665
England and Wales,Christian,Male,79,Aged 79 years,Other ethnic group,314
England and Wales,Christian,Male,80,Aged 80 years,Does not apply,0
England and Wales,Christian,Male,80,Aged 80 years,"Asian, Asian British or Asian Welsh",473
England and Wales,Christian,Male,80,Aged 80 years,"Black, Black British, Black Welsh, Caribbean or African",1688
England and Wales,Christian,Male,80,Aged 80 years,Mixed or Multiple ethnic groups,371
England and Wales,Christian,Male,80,Aged 80 years,White,103266
England and Wales,Christian,Male,80,Aged 80 years,Other ethnic group,275
England and Wales,Christian,Male,81,Aged 81 years,Does not apply,0
England and Wales,Christian,Male,81,Aged 81 years,"Asian, Asian British or Asian Welsh",500
England and Wales,Christian,Male,81,Aged 81 years,"Black, Black British, Black Welsh, Caribbean or African",1817
England and Wales,Christian,Male,81,Aged 81 years,Mixed or Multiple ethnic groups,346
England and Wales,Christian,Male,81,Aged 81 years,White,104015
England and Wales,Christian,Male,81,Aged 81 years,Other ethnic group,271
England and Wales,Christian,Male,82,Aged 82 years,Does not apply,0
England and Wales,Christian,Male,82,Aged 82 years,"Asian, Asian British or Asian Welsh",402
England and Wales,Christian,Male,82,Aged 82 years,"Black, Black British, Black Welsh, Caribbean or African",1703
England and Wales,Christian,Male,82,Aged 82 years,Mixed or Multiple ethnic groups,310
England and Wales,Christian,Male,82,Aged 82 years,White,98208
England and Wales,Christian,Male,82,Aged 82 years,Other ethnic group,237
England and Wales,Christian,Male,83,Aged 83 years,Does not apply,0
England and Wales,Christian,Male,83,Aged 83 years,"Asian, Asian British or Asian Welsh",335
England and Wales,Christian,Male,83,Aged 83 years,"Black, Black British, Black Welsh, Caribbean or African",1507
England and Wales,Christian,Male,83,Aged 83 years,Mixed or Multiple ethnic groups,301
England and Wales,Christian,Male,83,Aged 83 years,White,90058
England and Wales,Christian,Male,83,Aged 83 years,Other ethnic group,169
England and Wales,Christian,Male,84,Aged 84 years,Does not apply,0
England and Wales,Christian,Male,84,Aged 84 years,"Asian, Asian British or Asian Welsh",322
England and Wales,Christian,Male,84,Aged 84 years,"Black, Black British, Black Welsh, Caribbean or African",1346
England and Wales,Christian,Male,84,Aged 84 years,Mixed or Multiple ethnic groups,265
England and Wales,Christian,Male,84,Aged 84 years,White,81383
England and Wales,Christian,Male,84,Aged 84 years,Other ethnic group,166
England and Wales,Christian,Male,85,Aged 85 years,Does not apply,0
England and Wales,Christian,Male,85,Aged 85 years,"Asian, Asian British or Asian Welsh",301
England and Wales,Christian,Male,85,Aged 85 years,"Black, Black British, Black Welsh, Caribbean or African",1291
England and Wales,Christian,Male,85,Aged 85 years,Mixed or Multiple ethnic groups,203
England and Wales,Christian,Male,85,Aged 85 years,White,71485
England and Wales,Christian,Male,85,Aged 85 years,Other ethnic group,142
England and Wales,Christian,Male,86,Aged 86 years,Does not apply,0
England and Wales,Christian,Male,86,Aged 86 years,"Asian, Asian British or Asian Welsh",231
England and Wales,Christian,Male,86,Aged 86 years,"Black, Black British, Black Welsh, Caribbean or African",1092
England and Wales,Christian,Male,86,Aged 86 years,Mixed or Multiple ethnic groups,181
England and Wales,Christian,Male,86,Aged 86 years,White,62783
England and Wales,Christian,Male,86,Aged 86 years,Other ethnic group,138
England and Wales,Christian,Male,87,Aged 87 years,Does not apply,0
England and Wales,Christian,Male,87,Aged 87 years,"Asian, Asian British or Asian Welsh",201
England and Wales,Christian,Male,87,Aged 87 years,"Black, Black British, Black Welsh, Caribbean or African",898
England and Wales,Christian,Male,87,Aged 87 years,Mixed or Multiple ethnic groups,181
England and Wales,Christian,Male,87,Aged 87 years,White,53353
England and Wales,Christian,Male,87,Aged 87 years,Other ethnic group,109
England and Wales,Christian,Male,88,Aged 88 years,Does not apply,0
England and Wales,Christian,Male,88,Aged 88 years,"Asian, Asian British or Asian Welsh",190
England and Wales,Christian,Male,88,Aged 88 years,"Black, Black British, Black Welsh, Caribbean or African",754
England and Wales,Christian,Male,88,Aged 88 years,Mixed or Multiple ethnic groups,132
England and Wales,Christian,Male,88,Aged 88 years,White,46090
England and Wales,Christian,Male,88,Aged 88 years,Other ethnic group,93
England and Wales,Christian,Male,89,Aged 89 years,Does not apply,0
England and Wales,Christian,Male,89,Aged 89 years,"Asian, Asian British or Asian Welsh",148
England and Wales,Christian,Male,89,Aged 89 years,"Black, Black British, Black Welsh, Caribbean or African",623
England and Wales,Christian,Male,89,Aged 89 years,Mixed or Multiple ethnic groups,88
England and Wales,Christian,Male,89,Aged 89 years,White,39241
England and Wales,Christian,Male,89,Aged 89 years,Other ethnic group,76
England and Wales,Christian,Male,90,Aged 90 years and over,Does not apply,0
England and Wales,Christian,Male,90,Aged 90 years and over,"Asian, Asian British or Asian Welsh",480
England and Wales,Christian,Male,90,Aged 90 years and over,"Black, Black British, Black Welsh, Caribbean or African",1798
England and Wales,Christian,Male,90,Aged 90 years and over,Mixed or Multiple ethnic groups,397
England and Wales,Christian,Male,90,Aged 90 years and over,White,123358
England and Wales,Christian,Male,90,Aged 90 years and over,Other ethnic group,248
England and Wales,Buddhist,Female,0,Aged under 1 year,Does not apply,0
England and Wales,Buddhist,Female,0,Aged under 1 year,"Asian, Asian British or Asian Welsh",358
England and Wales,Buddhist,Female,0,Aged under 1 year,"Black, Black British, Black Welsh, Caribbean or African",1
England and Wales,Buddhist,Female,0,Aged under 1 year,Mixed or Multiple ethnic groups,78
England and Wales,Buddhist,Female,0,Aged under 1 year,White,47
England and Wales,Buddhist,Female,0,Aged under 1 year,Other ethnic group,23
England and Wales,Buddhist,Female,1,Aged 1 year,Does not apply,0
England and Wales,Buddhist,Female,1,Aged 1 year,"Asian, Asian British or Asian Welsh",399
England and Wales,Buddhist,Female,1,Aged 1 year,"Black, Black British, Black Welsh, Caribbean or African",1
England and Wales,Buddhist,Female,1,Aged 1 year,Mixed or Multiple ethnic groups,93
England and Wales,Buddhist,Female,1,Aged 1 year,White,57
England and Wales,Buddhist,Female,1,Aged 1 year,Other ethnic group,24
England and Wales,Buddhist,Female,2,Aged 2 years,Does not apply,0
England and Wales,Buddhist,Female,2,Aged 2 years,"Asian, Asian British or Asian Welsh",481
England and Wales,Buddhist,Female,2,Aged 2 years,"Black, Black British, Black Welsh, Caribbean or African",6
England and Wales,Buddhist,Female,2,Aged 2 years,Mixed or Multiple ethnic groups,114
England and Wales,Buddhist,Female,2,Aged 2 years,White,69
England and Wales,Buddhist,Female,2,Aged 2 years,Other ethnic group,23
England and Wales,Buddhist,Female,3,Aged 3 years,Does not apply,0
England and Wales,Buddhist,Female,3,Aged 3 years,"Asian, Asian British or Asian Welsh",479
England and Wales,Buddhist,Female,3,Aged 3 years,"Black, Black British, Black Welsh, Caribbean or African",2
England and Wales,Buddhist,Female,3,Aged 3 years,Mixed or Multiple ethnic groups,98
England and Wales,Buddhist,Female,3,Aged 3 years,White,62
England and Wales,Buddhist,Female,3,Aged 3 years,Other ethnic group,32
England and Wales,Buddhist,Female,4,Aged 4 years,Does not apply,0
England and Wales,Buddhist,Female,4,Aged 4 years,"Asian, Asian British or Asian Welsh",579
England and Wales,Buddhist,Female,4,Aged 4 years,"Black, Black British, Black Welsh, Caribbean or African",2
England and Wales,Buddhist,Female,4,Aged 4 years,Mixed or Multiple ethnic groups,102
England and Wales,Buddhist,Female,4,Aged 4 years,White,56
England and Wales,Buddhist,Female,4,Aged 4 years,Other ethnic group,30
England and Wales,Buddhist,Female,5,Aged 5 years,Does not apply,0
England and Wales,Buddhist,Female,5,Aged 5 years,"Asian, Asian British or Asian Welsh",605
England and Wales,Buddhist,Female,5,Aged 5 years,"Black, Black British, Black Welsh, Caribbean or African",0
England and Wales,Buddhist,Female,5,Aged 5 years,Mixed or Multiple ethnic groups,118
England and Wales,Buddhist,Female,5,Aged 5 years,White,58
England and Wales,Buddhist,Female,5,Aged 5 years,Other ethnic group,34
England and Wales,Buddhist,Female,6,Aged 6 years,Does not apply,0
England and Wales,Buddhist,Female,6,Aged 6 years,"Asian, Asian British or Asian Welsh",568
England and Wales,Buddhist,Female,6,Aged 6 years,"Black, Black British, Black Welsh, Caribbean or African",1
England and Wales,Buddhist,Female,6,Aged 6 years,Mixed or Multiple ethnic groups,129
England and Wales,Buddhist,Female,6,Aged 6 years,White,62
England and Wales,Buddhist,Female,6,Aged 6 years,Other ethnic group,38
England and Wales,Buddhist,Female,7,Aged 7 years,Does not apply,0
England and Wales,Buddhist,Female,7,Aged 7 years,"Asian, Asian British or Asian Welsh",628
England and Wales,Buddhist,Female,7,Aged 7 years,"Black, Black British, Black Welsh, Caribbean or African",3
England and Wales,Buddhist,Female,7,Aged 7 years,Mixed or Multiple ethnic groups,148
England and Wales,Buddhist,Female,7,Aged 7 years,White,82
England and Wales,Buddhist,Female,7,Aged 7 years,Other ethnic group,55
England and Wales,Buddhist,Female,8,Aged 8 years,Does not apply,0
England and Wales,Buddhist,Female,8,Aged 8 years,"Asian, Asian British or Asian Welsh",687
England and Wales,Buddhist,Female,8,Aged 8 years,"Black, Black British, Black Welsh, Caribbean or African",5
England and Wales,Buddhist,Female,8,Aged 8 years,Mixed or Multiple ethnic groups,134
England and Wales,Buddhist,Female,8,Aged 8 years,White,94
England and Wales,Buddhist,Female,8,Aged 8 years,Other ethnic group,42
England and Wales,Buddhist,Female,9,Aged 9 years,Does not apply,0
England and Wales,Buddhist,Female,9,Aged 9 years,"Asian, Asian British or Asian Welsh",646
England and Wales,Buddhist,Female,9,Aged 9 years,"Black, Black British, Black Welsh, Caribbean or African",3
England and Wales,Buddhist,Female,9,Aged 9 years,Mixed or Multiple ethnic groups,169
England and Wales,Buddhist,Female,9,Aged 9 years,White,107
England and Wales,Buddhist,Female,9,Aged 9 years,Other ethnic group,44
England and Wales,Buddhist,Female,10,Aged 10 years,Does not apply,0
England and Wales,Buddhist,Female,10,Aged 10 years,"Asian, Asian British or Asian Welsh",617
England and Wales,Buddhist,Female,10,Aged 10 years,"Black, Black British, Black Welsh, Caribbean or African",3
England and Wales,Buddhist,Female,10,Aged 10 years,Mixed or Multiple ethnic groups,158
England and Wales,Buddhist,Female,10,Aged 10 years,White,103
England and Wales,Buddhist,Female,10,Aged 10 years,Other ethnic group,58
England and Wales,Buddhist,Female,11,Aged 11 years,Does not apply,0
England and Wales,Buddhist,Female,11,Aged 11 years,"Asian, Asian British or Asian Welsh",651
England and Wales,Buddhist,Female,11,Aged 11 years,"Black, Black British, Black Welsh, Caribbean or African",5
England and Wales,Buddhist,Female,11,Aged 11 years,Mixed or Multiple ethnic groups,143
England and Wales,Buddhist,Female,11,Aged 11 years,White,95
England and Wales,Buddhist,Female,11,Aged 11 years,Other ethnic group,52
England and Wales,Buddhist,Female,12,Aged 12 years,Does not apply,0
England and Wales,Buddhist,Female,12,Aged 12 years,"Asian, Asian British or Asian Welsh",668
England and Wales,Buddhist,Female,12,Aged 12 years,"Black, Black British, Black Welsh, Caribbean or African",4
England and Wales,Buddhist,Female,12,Aged 12 years,Mixed or Multiple ethnic groups,139
England and Wales,Buddhist,Female,12,Aged 12 years,White,103
England and Wales,Buddhist,Female,12,Aged 12 years,Other ethnic group,44
England and Wales,Buddhist,Female,13,Aged 13 years,Does not apply,0
England and Wales,Buddhist,Female,13,Aged 13 years,"Asian, Asian British or Asian Welsh",673
England and Wales,Buddhist,Female,13,Aged 13 years,"Black, Black British, Black Welsh, Caribbean or African",4
England and Wales,Buddhist,Female,13,Aged 13 years,Mixed or Multiple ethnic groups,157
England and Wales,Buddhist,Female,13,Aged 13 years,White,116
England and Wales,Buddhist,Female,13,Aged 13 years,Other ethnic group,53
England and Wales,Buddhist,Female,14,Aged 14 years,Does not apply,0
England and Wales,Buddhist,Female,14,Aged 14 years,"Asian, Asian British or Asian Welsh",670
England and Wales,Buddhist,Female,14,Aged 14 years,"Black, Black British, Black Welsh, Caribbean or African",5
England and Wales,Buddhist,Female,14,Aged 14 years,Mixed or Multiple ethnic groups,146
England and Wales,Buddhist,Female,14,Aged 14 years,White,111
England and Wales,Buddhist,Female,14,Aged 14 years,Other ethnic group,35
England and Wales,Buddhist,Female,15,Aged 15 years,Does not apply,0
England and Wales,Buddhist,Female,15,Aged 15 years,"Asian, Asian British or Asian Welsh",609
England and Wales,Buddhist,Female,15,Aged 15 years,"Black, Black British, Black Welsh, Caribbean or African",5
England and Wales,Buddhist,Female,15,Aged 15 years,Mixed or Multiple ethnic groups,116
England and Wales,Buddhist,Female,15,Aged 15 years,White,117
England and Wales,Buddhist,Female,15,Aged 15 years,Other ethnic group,52
England and Wales,Buddhist,Female,16,Aged 16 years,Does not apply,0
England and Wales,Buddhist,Female,16,Aged 16 years,"Asian, Asian British or Asian Welsh",662
England and Wales,Buddhist,Female,16,Aged 16 years,"Black, Black British, Black Welsh, Caribbean or African",2
England and Wales,Buddhist,Female,16,Aged 16 years,Mixed or Multiple ethnic groups,114
England and Wales,Buddhist,Female,16,Aged 16 years,White,145
England and Wales,Buddhist,Female,16,Aged 16 years,Other ethnic group,53
England and Wales,Buddhist,Female,17,Aged 17 years,Does not apply,0
England and Wales,Buddhist,Female,17,Aged 17 years,"Asian, Asian British or Asian Welsh",683
England and Wales,Buddhist,Female,17,Aged 17 years,"Black, Black British, Black Welsh, Caribbean or African",8
England and Wales,Buddhist,Female,17,Aged 17 years,Mixed or Multiple ethnic groups,114
England and Wales,Buddhist,Female,17,Aged 17 years,White,183
England and Wales,Buddhist,Female,17,Aged 17 years,Other ethnic group,54
England and Wales,Buddhist,Female,18,Aged 18 years,Does not apply,0
England and Wales,Buddhist,Female,18,Aged 18 years,"Asian, Asian British or Asian Welsh",742
England and Wales,Buddhist,Female,18,Aged 18 years,"Black, Black British, Black Welsh, Caribbean or African",6
England and Wales,Buddhist,Female,18,Aged 18 years,Mixed or Multiple ethnic groups,123
England and Wales,Buddhist,Female,18,Aged 18 years,White,198
England and Wales,Buddhist,Female,18,Aged 18 years,Other ethnic group,50
England and Wales,Buddhist,Female,19,Aged 19 years,Does not apply,0
England and Wales,Buddhist,Female,19,Aged 19 years,"Asian, Asian British or Asian Welsh",826
England and Wales,Buddhist,Female,19,Aged 19 years,"Black, Black British, Black Welsh, Caribbean or African",10
England and Wales,Buddhist,Female,19,Aged 19 years,Mixed or Multiple ethnic groups,109
England and Wales,Buddhist,Female,19,Aged 19 years,White,246
England and Wales,Buddhist,Female,19,Aged 19 years,Other ethnic group,46
England and Wales,Buddhist,Female,20,Aged 20 years,Does not apply,0
England and Wales,Buddhist,Female,20,Aged 20 years,"Asian, Asian British or Asian Welsh",1020
England and Wales,Buddhist,Female,20,Aged 20 years,"Black, Black British, Black Welsh, Caribbean or African",6
England and Wales,Buddhist,Female,20,Aged 20 years,Mixed or Multiple ethnic groups,109
England and Wales,Buddhist,Female,20,Aged 20 years,White,311
England and Wales,Buddhist,Female,20,Aged 20 years,Other ethnic group,46
England and Wales,Buddhist,Female,21,Aged 21 years,Does not apply,0
England and Wales,Buddhist,Female,21,Aged 21 years,"Asian, Asian British or Asian Welsh",970
England and Wales,Buddhist,Female,21,Aged 21 years,"Black, Black British, Black Welsh, Caribbean or African",17
England and Wales,Buddhist,Female,21,Aged 21 years,Mixed or Multiple ethnic groups,100
England and Wales,Buddhist,Female,21,Aged 21 years,White,329
England and Wales,Buddhist,Female,21,Aged 21 years,Other ethnic group,43
England and Wales,Buddhist,Female,22,Aged 22 years,Does not apply,0
England and Wales,Buddhist,Female,22,Aged 22 years,"Asian, Asian British or Asian Welsh",1045
England and Wales,Buddhist,Female,22,Aged 22 years,"Black, Black British, Black Welsh, Caribbean or African",11
England and Wales,Buddhist,Female,22,Aged 22 years,Mixed or Multiple ethnic groups,110
England and Wales,Buddhist,Female,22,Aged 22 years,White,355
England and Wales,Buddhist,Female,22,Aged 22 years,Other ethnic group,54
England and Wales,Buddhist,Female,23,Aged 23 years,Does not apply,0
England and Wales,Buddhist,Female,23,Aged 23 years,"Asian, Asian British or Asian Welsh",1119
England and Wales,Buddhist,Female,23,Aged 23 years,"Black, Black British, Black Welsh, Caribbean or African",12
England and Wales,Buddhist,Female,23,Aged 23 years,Mixed or Multiple ethnic groups,105
England and Wales,Buddhist,Female,23,Aged 23 years,White,395
England and Wales,Buddhist,Female,23,Aged 23 years,Other ethnic group,87
England and Wales,Buddhist,Female,24,Aged 24 years,Does not apply,0
England and Wales,Buddhist,Female,24,Aged 24 years,"Asian, Asian British or Asian Welsh",1157
England and Wales,Buddhist,Female,24,Aged 24 years,"Black, Black British, Black Welsh, Caribbean or African",15
England and Wales,Buddhist,Female,24,Aged 24 years,Mixed or Multiple ethnic groups,87
England and Wales,Buddhist,Female,24,Aged 24 years,White,474
England and Wales,Buddhist,Female,24,Aged 24 years,Other ethnic group,97
England and Wales,Buddhist,Female,25,Aged 25 years,Does not apply,0
England and Wales,Buddhist,Female,25,Aged 25 years,"Asian, Asian British or Asian Welsh",1023
England and Wales,Buddhist,Female,25,Aged 25 years,"Black, Black British, Black Welsh, Caribbean or African",16
England and Wales,Buddhist,Female,25,Aged 25 years,Mixed or Multiple ethnic groups,94
England and Wales,Buddhist,Female,25,Aged 25 years,White,380
England and Wales,Buddhist,Female,25,Aged 25 years,Other ethnic group,107
England and Wales,Buddhist,Female,26,Aged 26 years,Does not apply,0
England and Wales,Buddhist,Female,26,Aged 26 years,"Asian, Asian British or Asian Welsh",1140
England and Wales,Buddhist,Female,26,Aged 26 years,"Black, Black British, Black Welsh, Caribbean or African",10
England and Wales,Buddhist,Female,26,Aged 26 years,Mixed or Multiple ethnic groups,103
England and Wales,Buddhist,Female,26,Aged 26 years,White,390
England and Wales,Buddhist,Female,26,Aged 26 years,Other ethnic group,86
England and Wales,Buddhist,Female,27,Aged 27 years,Does not apply,0
England and Wales,Buddhist,Female,27,Aged 27 years,"Asian, Asian British or Asian Welsh",1189
England and Wales,Buddhist,Female,27,Aged 27 years,"Black, Black British, Black Welsh, Caribbean or African",15
England and Wales,Buddhist,Female,27,Aged 27 years,Mixed or Multiple ethnic groups,93
England and Wales,Buddhist,Female,27,Aged 27 years,White,439
England and Wales,Buddhist,Female,27,Aged 27 years,Other ethnic group,95
England and Wales,Buddhist,Female,28,Aged 28 years,Does not apply,0
England and Wales,Buddhist,Female,28,Aged 28 years,"Asian, Asian British or Asian Welsh",1283
England and Wales,Buddhist,Female,28,Aged 28 years,"Black, Black British, Black Welsh, Caribbean or African",16
England and Wales,Buddhist,Female,28,Aged 28 years,Mixed or Multiple ethnic groups,84
England and Wales,Buddhist,Female,28,Aged 28 years,White,493
England and Wales,Buddhist,Female,28,Aged 28 years,Other ethnic group,102
England and Wales,Buddhist,Female,29,Aged 29 years,Does not apply,0
England and Wales,Buddhist,Female,29,Aged 29 years,"Asian, Asian British or Asian Welsh",1365
England and Wales,Buddhist,Female,29,Aged 29 years,"Black, Black British, Black Welsh, Caribbean or African",22
England and Wales,Buddhist,Female,29,Aged 29 years,Mixed or Multiple ethnic groups,80
England and Wales,Buddhist,Female,29,Aged 29 years,White,460
England and Wales,Buddhist,Female,29,Aged 29 years,Other ethnic group,93
England and Wales,Buddhist,Female,30,Aged 30 years,Does not apply,0
England and Wales,Buddhist,Female,30,Aged 30 years,"Asian, Asian British or Asian Welsh",1417
England and Wales,Buddhist,Female,30,Aged 30 years,"Black, Black British, Black Welsh, Caribbean or African",17
England and Wales,Buddhist,Female,30,Aged 30 years,Mixed or Multiple ethnic groups,99
England and Wales,Buddhist,Female,30,Aged 30 years,White,526
England and Wales,Buddhist,Female,30,Aged 30 years,Other ethnic group,95
England and Wales,Buddhist,Female,31,Aged 31 years,Does not apply,0
England and Wales,Buddhist,Female,31,Aged 31 years,"Asian, Asian British or Asian Welsh",1458
England and Wales,Buddhist,Female,31,Aged 31 years,"Black, Black British, Black Welsh, Caribbean or African",23
England and Wales,Buddhist,Female,31,Aged 31 years,Mixed or Multiple ethnic groups,88
England and Wales,Buddhist,Female,31,Aged 31 years,White,507
England and Wales,Buddhist,Female,31,Aged 31 years,Other ethnic group,146
England and Wales,Buddhist,Female,32,Aged 32 years,Does not apply,0
England and Wales,Buddhist,Female,32,Aged 32 years,"Asian, Asian British or Asian Welsh",1529
England and Wales,Buddhist,Female,32,Aged 32 years,"Black, Black British, Black Welsh, Caribbean or African",16
England and Wales,Buddhist,Female,32,Aged 32 years,Mixed or Multiple ethnic groups,68
England and Wales,Buddhist,Female,32,Aged 32 years,White,484
England and Wales,Buddhist,Female,32,Aged 32 years,Other ethnic group,122
England and Wales,Buddhist,Female,33,Aged 33 years,Does not apply,0
England and Wales,Buddhist,Female,33,Aged 33 years,"Asian, Asian British or Asian Welsh",1654
England and Wales,Buddhist,Female,33,Aged 33 years,"Black, Black British, Black Welsh, Caribbean or African",22
England and Wales,Buddhist,Female,33,Aged 33 years,Mixed or Multiple ethnic groups,83
England and Wales,Buddhist,Female,33,Aged 33 years,White,597
England and Wales,Buddhist,Female,33,Aged 33 years,Other ethnic group,141
England and Wales,Buddhist,Female,34,Aged 34 years,Does not apply,0
England and Wales,Buddhist,Female,34,Aged 34 years,"Asian, Asian British or Asian Welsh",1794
England and Wales,Buddhist,Female,34,Aged 34 years,"Black, Black British, Black Welsh, Caribbean or African",19
England and Wales,Buddhist,Female,34,Aged 34 years,Mixed or Multiple ethnic groups,73
England and Wales,Buddhist,Female,34,Aged 34 years,White,583
England and Wales,Buddhist,Female,34,Aged 34 years,Other ethnic group,137
England and Wales,Buddhist,Female,35,Aged 35 years,Does not apply,0
England and Wales,Buddhist,Female,35,Aged 35 years,"Asian, Asian British or Asian Welsh",1927
England and Wales,Buddhist,Female,35,Aged 35 years,"Black, Black British, Black Welsh, Caribbean or African",23
England and Wales,Buddhist,Female,35,Aged 35 years,Mixed or Multiple ethnic groups,92
England and Wales,Buddhist,Female,35,Aged 35 years,White,583
England and Wales,Buddhist,Female,35,Aged 35 years,Other ethnic group,119
England and Wales,Buddhist,Female,36,Aged 36 years,Does not apply,0
England and Wales,Buddhist,Female,36,Aged 36 years,"Asian, Asian British or Asian Welsh",2091
England and Wales,Buddhist,Female,36,Aged 36 years,"Black, Black British, Black Welsh, Caribbean or African",28
England and Wales,Buddhist,Female,36,Aged 36 years,Mixed or Multiple ethnic groups,87
England and Wales,Buddhist,Female,36,Aged 36 years,White,598
England and Wales,Buddhist,Female,36,Aged 36 years,Other ethnic group,153
England and Wales,Buddhist,Female,37,Aged 37 years,Does not apply,0
England and Wales,Buddhist,Female,37,Aged 37 years,"Asian, Asian British or Asian Welsh",2198
England and Wales,Buddhist,Female,37,Aged 37 years,"Black, Black British, Black Welsh, Caribbean or African",16
England and Wales,Buddhist,Female,37,Aged 37 years,Mixed or Multiple ethnic groups,73
England and Wales,Buddhist,Female,37,Aged 37 years,White,576
England and Wales,Buddhist,Female,37,Aged 37 years,Other ethnic group,137
England and Wales,Buddhist,Female,38,Aged 38 years,Does not apply,0
England and Wales,Buddhist,Female,38,Aged 38 years,"Asian, Asian British or Asian Welsh",2390
England and Wales,Buddhist,Female,38,Aged 38 years,"Black, Black British, Black Welsh, Caribbean or African",30
England and Wales,Buddhist,Female,38,Aged 38 years,Mixed or Multiple ethnic groups,79
England and Wales,Buddhist,Female,38,Aged 38 years,White,612
England and Wales,Buddhist,Female,38,Aged 38 years,Other ethnic group,173
England and Wales,Buddhist,Female,39,Aged 39 years,Does not apply,0
England and Wales,Buddhist,Female,39,Aged 39 years,"Asian, Asian British or Asian Welsh",2681
England and Wales,Buddhist,Female,39,Aged 39 years,"Black, Black British, Black Welsh, Caribbean or African",23
England and Wales,Buddhist,Female,39,Aged 39 years,Mixed or Multiple ethnic groups,84
England and Wales,Buddhist,Female,39,Aged 39 years,White,690
England and Wales,Buddhist,Female,39,Aged 39 years,Other ethnic group,141
England and Wales,Buddhist,Female,40,Aged 40 years,Does not apply,0
England and Wales,Buddhist,Female,40,Aged 40 years,"Asian, Asian British or Asian Welsh",2580
England and Wales,Buddhist,Female,40,Aged 40 years,"Black, Black British, Black Welsh, Caribbean or African",24
England and Wales,Buddhist,Female,40,Aged 40 years,Mixed or Multiple ethnic groups,80
England and Wales,Buddhist,Female,40,Aged 40 years,White,634
England and Wales,Buddhist,Female,40,Aged 40 years,Other ethnic group,183
England and Wales,Buddhist,Female,41,Aged 41 years,Does not apply,0
England and Wales,Buddhist,Female,41,Aged 41 years,"Asian, Asian British or Asian Welsh",2576
England and Wales,Buddhist,Female,41,Aged 41 years,"Black, Black British, Black Welsh, Caribbean or African",21
England and Wales,Buddhist,Female,41,Aged 41 years,Mixed or Multiple ethnic groups,66
England and Wales,Buddhist,Female,41,Aged 41 years,White,672
England and Wales,Buddhist,Female,41,Aged 41 years,Other ethnic group,201
England and Wales,Buddhist,Female,42,Aged 42 years,Does not apply,0
England and Wales,Buddhist,Female,42,Aged 42 years,"Asian, Asian British or Asian Welsh",2557
England and Wales,Buddhist,Female,42,Aged 42 years,"Black, Black British, Black Welsh, Caribbean or African",27
England and Wales,Buddhist,Female,42,Aged 42 years,Mixed or Multiple ethnic groups,70
England and Wales,Buddhist,Female,42,Aged 42 years,White,671
England and Wales,Buddhist,Female,42,Aged 42 years,Other ethnic group,190
England and Wales,Buddhist,Female,43,Aged 43 years,Does not apply,0
England and Wales,Buddhist,Female,43,Aged 43 years,"Asian, Asian British or Asian Welsh",2562
England and Wales,Buddhist,Female,43,Aged 43 years,"Black, Black British, Black Welsh, Caribbean or African",26
England and Wales,Buddhist,Female,43,Aged 43 years,Mixed or Multiple ethnic groups,94
England and Wales,Buddhist,Female,43,Aged 43 years,White,651
England and Wales,Buddhist,Female,43,Aged 43 years,Other ethnic group,191
England and Wales,Buddhist,Female,44,Aged 44 years,Does not apply,0
England and Wales,Buddhist,Female,44,Aged 44 years,"Asian, Asian British or Asian Welsh",2707
England and Wales,Buddhist,Female,44,Aged 44 years,"Black, Black British, Black Welsh, Caribbean or African",24
England and Wales,Buddhist,Female,44,Aged 44 years,Mixed or Multiple ethnic groups,58
